image, tag1, tag2
adminer, standalone, 4.6-standalone
adoptopenjdk, openj9-focal, 16-hotspot-focal
aerospike, ee-7.0.0.2, ee-6.3.0.3
almalinux, minimal, 8.7-20221110
alpine, 3.19.0, 3.16.1
alt, sisyphus, p8
amazoncorretto, 8u392-alpine3.18, 17-alpine3.17
amazonlinux, 2023.2.20231113.0, 2.0.20230320.0
api-firewall, 0.6.14, 0.6.7
arangodb, 3.11.6, 3.7.15
archlinux, base-devel-20231112.0.191179, base-devel-20230312.0.133040
backdrop, fpm, 1.13.2-apache
bash, devel-alpine3.19, 3.1
bonita, 9.0.0, 7.8.2
buildpack-deps, mantic-scm, buster-curl
busybox, uclibc, 1.33
caddy, builder-alpine, 2.7.4-builder-windowsservercore-1809
cassandra, 5.0-beta1, 4.0-rc1
celery, 4, 3.1.17
centos, centos7.9.2009, centos5
chronograf, alpine, 1.5
cirros, 0.6.2, 0.3.0
clearlinux, base
clefos, 7.7.1908, 7.4.1708
clojure, tools-deps-bullseye, temurin-17-tools-deps-bullseye-slim
composer, 2.3, 2.3.2
consul, 1.15, 1.9
convertigo, 8.2.4, 7.6.1
couchbase, enterprise-7.2.3, enterprise-6.6.3
couchdb, 3.3.3, 1.6.1
crate, 5.5.1, 4.7.2
crux, 3.4, 3.0
dart, stable-sdk, 3.0
debian, unstable-slim, bookworm-backports
django, onbuild, 1.9.1-python3
docker, windowsservercore-ltsc2022, 24-git
docker-dev, 1.9, 1.5
drupal, php8.2-fpm-bullseye, 10.1-apache-bullseye
eclipse-mosquitto,2.0.18, 2.0.1-openssl
eclipse-temurin, 8u392-b08-jre-jammy, 21.0.1_12-jdk
eggdrop, stable, 1.8.0rc1
elasticsearch, 7.17.15, 8.1.0
elixir, otp-25-slim, 1.13.4-otp-25
emqx, 5.3.2, 4.4.2
erlang, alpine, 20
euleros, 2.3.1809, 2.2
express-gateway, 1.x, 1.14.x
fedora, rawhide, 23
flink, scala_2.12-java8,1.17.1
fluentd, v1.16.2-1.1, v1.4-2
friendica, stable-fpm, 2023.03-rc-fpm-alpine
fsharp, netcore, 4.1.18-wheezy-slim
gazebo, libgazebo11-focal, gzserver4
gcc, 9.5.0-bullseye, 12.3.0-bullseye
geonetwork, 4.4.1, 3.12.1-postgres
ghost, alpine,5.67.0
glassfish, 4.1-jdk8, 4.0-jdk7
golang, 1.21.2-bookworm , 1.20-nanoserver
gradle, jdk8-jammy, 8-jdk17-focal
groovy, jdk8-jammy, 4.0-jdk17-alpine
haproxy, lts-bullseye, 2.6.15-alpine
haskell, slim-buster, 9.4.7-slim
haxe, 4.3.3-alpine3.19, 4.3.3-buster
hello-seattle, nanoserver, nanoserver1709
hello-world, nanoserver-ltsc2022, nanoserver1709
hipache, 0.3.1, 0.2.4
hitch, 1.8.0-1, 1.7.0
hola-mundo, linux, nanoserver1709
httpd, alpine3.18, 2.4.53-alpine3.15
hylang, python3.12-bullseye, 0.27.0-python3.11
ibm-semeru-runtimes, open-8u392-b08-jre-focal, open-17.0.9_9-jre-centos7
ibmjava, sfj, 9-ea2-sdk
influxdb, alpine, 1.11.2-data-alpine
iojs, slim, 1.3.0-onbuild
irssi, alpine3.18, 1.1.1
java, 6-jdk, openjdk-6b38
jenkins, 2.60.3-alpine, 1.642.3
jetty, jdk21, 12.0.4-jre17
jobber, 1.4.4-alpine3.11, 1-alpine3.10
joomla, php8.2-fpm-alpine, 5.0.1-php8.2-apache
jruby, 9.4.5.0-jre8, 9.3-jre
julia, rc-bullseye, 1.10.0-rc1-windowsservercore
kaazing-gateway, 5.6.0, 5.0.1.21
kapacitor, 1.7.1, 1.3
kibana, 7.17.15, 8.1.0
known, 0.9.9, 0.9.2
kong, ubuntu, 2.7.2
lightstreamer, 7.4.0-jdk8-temurin, 7.0.3-jdk8-temurin
logstash, 8.11.1, 8.1.0
mageia, cauldron, 3
mariadb, 10.6.16-focal, 11.1.2-jammy
matomo, fpm-alpine, 4.13.2-fpm
maven, sapmachine, 3-eclipse-temurin
mediawiki, stable-fpm-alpine, 1.38.6
memcached, alpine3.18, 1.6.21
mongo, 4.4.27-rc0-windowsservercore-ltsc2022, 7-nanoserver
mongo-express, 1.0.0-18-alpine3.18, 0.30.55
monica, fpm-alpine, 3.4.0-fpm
mono, 7.0.2 , 6.0.0.334
mysql, 8.1.0 , 8.0.31-oracle
nats, scratch, 2.10.5-alpine3.18
nats-streaming, alpine3.18, 0.25.3-nanoserver-1809
neo4j, ubi8, 5.13-enterprise
neurodebian, nd22.04-non-free, groovy
nextcloud, fpm-alpine, stable-fpm-alpine
nginx, stable-alpine3.17-perl, 1.25.2
node, slim, 20-alpine3.17
notary, signer, server-0.5.0
nuxeo, LTS-2019, 8.1
odoo, 17.0, 8.0
open-liberty, kernel-slim-java8-openj9, 23.0.0.7-kernel-slim-java17-openj9
openjdk, 22-slim-bookworm, 22-ea-18-jdk-oraclelinux8
oraclelinux, 8-slim-fips, 5
orientdb, 3.2.25-tp3, 3.1.19
owncloud, 9-fpm, 9.1.6
percona, psmdb-6.0, ps-8.0.28-19
perl, threaded-bullseye, 5.36.3-threaded-bookworm
photon, 5.0-20231128, 5.0-20230619
php, 8.3.1RC3-zts-bookworm, 8.2-rc-fpm-bookworm
php-zendserver, 2021.0, 7.0-php5.5
phpmyadmin, fpm-alpine, 5.0.2
piwik, 3, 3.1.1-fpm
plone, python38, 5.2.1-alpine
postfixadmin, fpm-alpine, 3.3.3-fpm
postgres, 16.0, 12-alpine3.19
pypy, slim-bullseye, 3.10-7-slim
python, 3.12.0-bookworm , 3-slim
r-base, 4.3.2, 3.1.3
rabbitmq, 3.11.26-management, 3.13.0-beta.6
rails, onbuild, 4.2.1
rakudo-star, alpine, 2015.03
redis, 7.2.1, 7-alpine3.18
registry, 2.8.3, 0.6.5
rethinkdb, bullseye-slim, 2.0.0
rocket.chat, 6.4.2, 4.6.4
rockylinux, 9.3.20231119, 8.5
ros, dashing-ros1-bridge-bionic, galactic-ros1-bridge-focal
ruby, slim-bullseye, 3-slim-bullseye
rust, 1.74.1-slim-bookworm, 1.74.0-slim-bookworm
sapmachine, ubuntu-jammy, 21-jre-ubuntu
satosa, bullseye, 8.1
sentry, onbuild, 8.15.0-onbuild
silverpeas, 6.3.3, 6.0-alpha2
sl, 7, 6
solr, 7, 6
sonarqube, lts-enterprise, 10.2-community
sourcemage, 0.62, 0.61
spark, scala, 3.4.1
spiped, alpine, 1.5.0-alpine
storm, 2.5.0, 1.0.2
swarm, 1.2.9, 0.3.0-rc2
swift, slim, 5.5-focal
swipl, stable, 7.7.20
teamspeak, 3.13.7, 3.1.0
telegraf, alpine, 1.25.2
thrift, 0.12.0, 0.9.2
tomcat, jre21-temurin-jammy, 9.0.83
tomee, webprofile, 8.0-jre11-Semeru
traefik, v2.10.7, 2.10.1
ubuntu, mantic-20230926, bionic
ubuntu-debootstrap, devel, lucid
ubuntu-upstart, utopic, 13.04
unit, ruby3.2, 1.30.0-jsc11
varnish, old-alpine, 7.0.1
vault, 1.12.7, 1.10.0
websphere-liberty, kernel-java17-openj9, 23.0.0.7-full-java17-openj9
wordpress, php8.2-fpm, 6.3.1-apache
xwiki, lts-postgres-tomcat, 15.10
yourls, fpm-alpine, 1.7.4-fpm
znc, slim, 1.6.4
zookeeper, 3.9.1-jre-17, 3.4
amazon/aws-cli, 2.15.0, 2.13.1
amazon/aws-for-fluent-bit, init-debug-latest, init-amd64-debug-2.31.12.20231011
amazon/cloudwatch-agent, latest-arm64, 1.247351.0b251861-arm64
bitnami/etcd, 3.5.11-debian-11-r0, 3.5.9-debian-11-r111
bitnami/external-dns, 0.14.0-debian-11-r2, 0.13.5-debian-11-r10
bitnami/kubectl, 1.26.11-debian-11-r2, 1.25.14-debian-11-r15
bitnami/mariadb, 10.6.16-debian-11-r1, 10.5.22-debian-11-r44
bitnami/mongodb, 5.0.23-debian-11-r3, 6.0.10-debian-11-r17
bitnami/phpmyadmin, 5.2.1-debian-11-r78, 5.2.0-debian-11-r51
bitnami/postgresql, 15.5.0-debian-11-r15, 14.10.0-debian-11-r11
bitnami/rabbitmq, 3.12.10-debian-11-r2, 3.12.6-debian-11-r4
bitnami/zookeeper, 3.9.1-debian-11-r3, 3.7.1-debian-11-r424
datadog/agent, 7.50.0-rc.6, 6-jmx
fluent/fluent-bit, windows-2019-2.2.0, 2.1.9-amd64
google/cadvisor, canary, 0.1.3
google/cloud-sdk, 456.0.0-debian_component_based, 450.0.0-emulators
grafana/grafana, main-ubuntu, 10.0.3
grafana/loki, main, main-18778cd
kong/kong-gateway, 2.8.4.5-ubuntu, 3.4.2.0-20231110-ubuntu-fips
netdata/netdata, edge, v1.30.1
newrelic/php-daemon, 10.14.0, 9.2.0
nginx/nginx-ingress, edge, 3.0.0-alpine
portainer/portainer, linux-amd64-2.0.1, windows1809-amd64-1.24.1
portainer/portainer-ce, windowsltsc2022-amd64, windows1909-amd64-2.19.2
rancher/net, v0.13.17, v0.12.1
rancher/pause, 3.5, 3.1-amd64
rancher/rancher-agent, v2.8-07b114dd21372f69efdec2d5c5222b696af9eaa0-head, v2.8-19e19a76f7ece0d0fb7b4bde1eec18ed0ec594cf-windows-ltsc2022
rancher/server, v1.6.28, v1.6.14
rancher/shell, v0.1.22, v0.1.20